Sr. No.,Roman News Items,Label
23,russia coin bnany waly ki takhleeq 1921 sy asli american coin ky tor par viral hoti hai,FAKE
24,haqaiq ki janch partal flooded karachi airport par pia ky aircrafts ki landing ki purani video haal hi mai viral hui hai,FAKE
25,muhammad raffie ky gany jannat ki hai tasveer par pabandi nhi lgai gai gumrahkun dawa viral,FAKE
26,poland mai huwe is qatal mamla ka homosexuality sy koi taluq nhi dawa farzi hai,FAKE
27,ariana grande ki shadi ki tasver ko christiano ronaldo ki shadi ky bary mai gumrahkun posts mai tabdeli,FAKE
28,pentagon ky qareeb dhamaka zahir krny ka dawa krny wali AI sy tayar karda tasveer jali hai,FAKE
29,Pakistan ky sabiq wazeer e azam Imran Khan ki AI sy tyar karda tasaver jhuty dawon ky sath viral ho jati hain,FAKE
30,"Dalai Lama, Viladamer Putin, aur Joe Biden ki AI sy tyar krda tasaver jhuty dawon ky sath viral ho jati hain",FAKE
31,"libas mai PM Modi ki tasver jali hai, jisy AI tools ny bnaya hai",FAKE
32,Sabiq sadar Barak Obama ny chef ki biwi par apny shohar tafari campbell ki mot ka ilzam lgany par rad e amal zahir,FAKE
33,amreki navy sales ny san fransisco bay mai 807 bachon ko bachaya jinhen jinsi ghulam bna kr rakha ja raha tha,FAKE
34,Social media posts farzi Haris ky 'iqtebas' ko haqeeqat ky toor pe paish krti hain,FAKE
35,Trump ky galt auto industry tweets,FAKE
36,kya trump american companiyon ko china chorny ka 'hukam' dy skty hain?,FAKE
37,khandani elahdigyion ky bary mai jhut online rehta hai,FAKE
38,Congress ky hami BBC ki jali report ka istemal krty huwe Rahul Gandhi ko almi mayar ka leader qarar dety hain,FAKE
39,Media kis trha na ehal 'senior' sahafiyon ko galt malumat aur jhot phelany ki ijazat deta hai,FAKE
40,viral iqtebas galt tor par mcCarthy sy mansub,FAKE
41,amazon zameen ki 20 fesad oxygen paida nhi krta,FAKE
42,Cadlo ka gair tawun yafta USMCA mulazmaton ka dawa,FAKE
43,"Willamson bachon ki sehat, vaccine k bary mai gumrah krty hain",FAKE
44,civil epstein case ky judge ka march mai inteqal hogya,FAKE
45,maam ny congress ki tankhwahon mai izafa kia,FAKE
46,"video: paris, Warn Michael Brown shooting par",FAKE
47,US Japan tijarti khasara 'tezi sy tabdeel nhi ho raha',FAKE
48,epstein connections sazishi nazriyat ko hawa dy rahy hain,FAKE
49,biden top 1% taxes ki sharah par gumrah krta hai,FAKE
50,Rahul Gandhi Gujrat mai taqreer krty huwe jhut bolty huwe pakry gaye,FAKE
51,PTI ny GST wasuli ky ahdaf par CBEC ky sarbarah ka galt hawalah diya hai?,FAKE
52,kya punjab mai manshiyat ky masail ky aadad o shumar gumrahkun tor par 'awla' thy?,FAKE
53,coal ki nelami ki amdan par business standard article 'kam ho raha hai' sansani khez aur nakis daleel hai,FAKE
54,"scheme hawai adda waqi hindustan ka soowan operational hawai adda hai, ye yahan hai",FAKE
55,Madhiya Pardesh: Rahul Gandhi ny Sardar Patel ky mujasmy par wohi jhut bola,FAKE
56,Japan ky bullet train ky liye funding wapis leny k bary mai congress ky tarjuman national herald ka jhut,FAKE
57,Nedler ny Muller ki gawahi ko galt andaz mai paish kia,FAKE
58,hamal ky doran dil ki dharkanen kab sunai deti hain?,FAKE
59,Muller k nataaij par ak gumrah kun paigam,FAKE
60,trump ky alice island awads ky bary mai jali dawa,FAKE
61,epstein ki mot k baad galt malumat behti hain,FAKE
62,obama ny 'all out gun zabti' ka mutalba nhi kiya,FAKE
63,bar k epstein jail k dory k bary mai be-bunyad dawa,FAKE
64,kya hukumat ny jammu o kashmir mai mulazmin ko reliance sy health inssurance khareedny par majbur kiya?,FAKE
65,video mai dikhaya gya hai keh ak shakhs republican sadarti ummedwar will herd ko the view par rok raha hai,FAKE
66,video mai sadar joe biden ko live TV par soty huwe dikhaya gya hai,FAKE
67,government ron desantis ka kehna hai k mery China teriff ki mukhalfat ki aur is ny be-dilli sy form relief ky liye 28 billion dollor ki mukhalfat ki jis ki adaigi China ny ki thi,FAKE
68,bimari X agli wabai bimari hai,FAKE
69,FBI ky director wray ny tasdeeq ki hai keh joe biden delaware mai amreki attorney ky zarye Ukrainei rishwat ky liye mujrimana tehqiqat ky tehat hai phir peechy chalny ki koshish krta hai,FAKE
70,ham guzishta 24 ghanton mai amreki aham infrastructure par do bary dhamaky dekh rahy hain jis ki waja sy bijli ki bandish hai,FAKE
71,ap ky boht sy chain food resturants salon sy lab mai tayar shuda gosht istemal kr rahy hain,FAKE
72,video sy pata chalta hai keh attorney general Merrick Garland Tailor Green ky ehmaqana trump ki giraftari ky baad bachon ki trha rota hai ,FAKE
73,13 mumalik kurah e arz ko bachany k liye kasht kari ko khatam krny par mutafiq hain,FAKE
74,"nichole schwabs ny kaha, mustaqil mosamiyati lock down aa rahy hain. Chahy ap isy pasand kren ya na kren",FAKE
75,"judge tanya chutkan washington, DC mai wahid wifaqi judge hain, jinhon ny 6 january ko mudda alaiyhan ko hukumat ki darkhwast sy zyada taweel saza sunai hai",FAKE
76,jin logon ko corona virus ki vaccine mili hain wo apny jism ko spike protine sy detoxify kr skty hain,FAKE
77,white house ny 28 july ko aik sarkari bayan diya keh hamen mumkina toor par apny aham infrastructure ky liye kuch bara hony ky liye tayar rehny ki zarorat hai,FAKE
78,ak naya qanon logon ko ijazat deta hai keh wo apny credit cards sy do saal sy zyada purany gair ada shuda qarz ko mustiqal tor par mita den,FAKE
79,jild ka cancer pichly 60 salon mai ak nisbatan naya rujhan hai,FAKE
80,"sabiq sadar barak obama ny background check database sy 500,000 pedophilers ko hata diya",FAKE
81,barak obama ki bandage ungliyon ky sath golf khelty huwe tasweeren is baat ka sabut hai keh wo Tafari campbell ki mot mai mulavis thy,FAKE
82,haal hi mai Nevada ky shehar rino mai Donald Trump ko qatal krny ki koshish ki gai,FAKE
83,"bill gates ka kehna hai keh, ham esi chezen ly rahen hain jo genetically tabdeel shuda jandar hain, aur ham inhen choty bachon ky bazuoon mai injection lga rahy hain corona virus wabai marz k tanazur mai",FAKE
84,"Netherlands mai doctors ny autism aur degar mamuli mazuri waly shehriyon ko khush krny ka hukam dia, chahy mareez fil hal marny ki khawahish ka izhar na kry",FAKE
85,aik wind turbine ko char saal sy zyada ersy tak musalsal ghumna chahiye taky isy banany mai lagny wali tawanai ko tabdeel kia ja sky,FAKE
86,hakumat ny sirf half ky tehaat kaha keh wo UFO's aur ghair insani ajnabi jismon ky qabzy mai hain,FAKE
87,in tasaveer mai lebron james ko barbie film k liye gulabi libas mai malbus dikhaya gya hai,FAKE
88,senitor mitt romney ny republican party ko chor kar democratic party mai shamil hony ki dhamki di hai,FAKE
89,"tarkeen e watan ko samjha jata hai keh wo jis mulk mai hain wahan panah k liye darkhwast den, aur phir wo riyasat haye mutahida mai any ki koshish kren",FAKE
90,biden ky tehat pichli do intezamiya ky mushtarka muqably mai zyada ghair qanuni muqably huwe hain,FAKE
91,jab bill nye ny kaha keh zameen ak band nizam hai to us ny tajweez paish ki keh space investigation impossible hai,FAKE
92,beyonce insani smuggling ky ak bary case mai mudai eleh hai,FAKE
93,joe biden ak baraherast TV interview ky doran uth kar chala gya,FAKE
94,luke brain ny CMT sy apni videos khenchin: bud light treatment ka waqt,FAKE
95,hank williams junior ny CMT ky boards of directors sy istefa dy dia: mai jason aldean ki himayat krta hun,FAKE
96,covid vaccine sy bhara pfizer godam abhi north carolina mai tufan ky zarye tabah kr dia gya tha,FAKE
97,klaus schwab ny awami tor par etraf keh wo agli wabai bimari k doran puri dunya mai china ki tarz par forced corona virus lock down ko nafiz krny ka mansuba bna rahy hain,FAKE
98,ESPN football ky tajziyakar Shaka haslop corona virus vaccine ki waja sy hawa par gir gaye,FAKE
99,7 mint pehly: mel gibson azadi ki awaz k baad hollywood ellite sy tahafuz ky liye rota hai,FAKE
100,Chicago ky ilaqy mai pipeline ky do karkunon ko fentanyl sy lace pani ki bottlen di gain,FAKE
101,Tasaweer mai bachon ko shetani libas pehny aur shetani club main hissa lety huwe dikhaya gaya hai,FAKE
102,"2023, solar incentive program ky tehat, amreki ghar ky makan ab hukumat sy bilkul bagair kisi qeemat ky mukamal jadeed tareen shamsi nizam hasil krny ky ehal ho skty hain",FAKE
103,Baltimore ky afram festival main helicopter ny muhlik machar chory,FAKE
104,"Kuch libral riyaston main, ap ko asal mai paidaish ky baad isqat-e-hamal hoty hain",FAKE
105,Procecutor Jack Smith sirf Republicans ko nishana bnaty hain,FAKE
106,Video sy pta chalta hai keh George Soros diwalya ho raha hai,FAKE
107,tasweer sy pata chalta hai k insani tareekh ka sab sy burha admi Ginese World Record ky zarye record gya hai,FAKE
108,Walmart ko 2022 sarfeen ko $500 wapis krna hoga,FAKE
109,"Los Vegas, Safeer ny sadar joe biden ko hadayat krda ak toheen aameez paigam dikhaya ",FAKE
110,video mai jinsi samaglaron ko un k jaraim mai madad krna mansuba band waldaneyat dikhaya gya hai,FAKE
111,World economic forum ka kehna hai keh agar ap muashry mai hissab lena chahty hain to CBDCs ko apki jild k neechy lgana zarori hai,FAKE
112,World economic forum ny janwaron ka nishan CBDC microchip ka agaz jo amrika mai banduq ki malkeyat ko khatam kry ga,FAKE
113,shumali kerolaina mai phizer ki amart ko tabah krny waly tufan ko bary pharma ky liye insurance claim faraham krny k liye mosam ki hera pheri ka istemal krty huwe tarteeb dia gya tha,FAKE
114,baku mai shooter taal singuan ky bary mai viral dawa gumrah kun hai,FAKE
115,bareli ky cinema hall mai gather 2 show ky doran pakistan zindabad ky nary nhi lgae gye viral dawa jali,FAKE
116,earbuds earphones ky zyada istimal ka dawa chehry ky falij ka sabab ban skta hai,FAKE
117,school ki taalba pr gae ky hamle ka video fareedabad ka nhi chanai ka hai,FAKE
118,aston martin my sath pose krty hue satia jeet ry ki tasweer mai tarmeem ki gyi hai,FAKE
119,"cji ny logon ko jamhuriyat bachany ky liye ehtajaj krny pr zor nhi dia, viral dawa jali or man gharat hai",FAKE
120,do galukaron ki viral video ko mini pur sy jorny ky jhuty dawe ky sath share kia gya,FAKE
121,ganwapi complex ky gumbad pr charny waly admi ki video gumrah kun dawon ky sath viral ho rhi hai,FAKE
122,pakistan mai train hadsy sy mutaliq jhuty dawe ky sath Balsor train hadsy ki video viral ho rhi hai,FAKE
123,bito bajrangi ki purani video nuh tashadud sy mutaliq jhuty dawon ky sath viral ho rhi hai,FAKE
124,tax dahindagan ky darmiyan jali income tax ki wapsi ky  peghamaat gardish krty hain namaloom link ly kr jaen,FAKE
125,Selab zada chanai hawai ady ki purani tasweer jhuty dawon ky sath viral ho rhi hai,FAKE
126,Iss tasweer mai nasa ky canadi space center mai launch pad dikhaya gya hai,FAKE
127,Iss footage mai dikhaya gya hai ky imran khan 2022 mai nhi balky 2019 mai siyasi corruption ky khilaf crack down karen gy,FAKE
128,Iss collage ki zyada tar tasaweer mai 2021 ky turkey ky jungle ki aag nhi dikhai deti,FAKE
129,Iss video mai 2018 mai Pakistan ky suba Punjab mai aik waqia dikhaya gya hai ,FAKE
130,Iss video mai Austria ky aik siyasatdaan ky gumraah kun daave ka ishtirak kia gya hai ky coca cola ny covid 19 ky liye musbat tajarba kia hai,FAKE
131,Afghanistan mai aurat ko sangsaar kr ky qatal karny ki purani video gumrah kun post mai dobara manzar e aam par aa gyi,FAKE
132,Aab o hawa ka ilan rad kiye gye dawoon ko dobara sirakta hai,FAKE
133,Ice core garaph gumrah kun global warming ky daawe karny ky liye istimaal hota hai,FAKE
134,British airways ki janib sy London-Islamabad parwazain moatal karny ky baad gumrah kun posts,FAKE
135,Bartaniya mai endhan ky stations pr qitar mai khari gariyon ki purani tasaweer kinia mai gardish kr rhi hain taky maqami kami ko jawaz bnaya ja sky,FAKE
136,"Bill gates zamni asraat ky bary mai baat kr rhy thy or inhon ny ye nhi kaha ky covid 19 vaccine sy 700,000 afraad halak ya mustaqil tor pr mazoor ho jaen gy",FAKE
137,Pakistan khudkush hamly ky baad gumrah kun posts mai zakhmi shami bachy ki tasweer,FAKE
138,Pakistan ka kehna hai ky mutahida arab amaraat ki janib sy Pakistaniyo ky waziron ki aarzi muatli covid 19 ki waja sy hai,FAKE
139,Pakistan ky bani k sath London buss ka ishtihaar imran khan ky wazeer e azam banny sy pehly ki tashheeri muhim ka hai,FAKE
140,Pakistan ky qomi janwar ky sath shikari ki tasweer amreeki sifarat kaar ko dikhai gyi,FAKE
141,Pakistan mai 2022 ky barfani tufaan ky bary mai gumrah kun posts mai khudai karny waly truck ky hadsy ki purani video share ki gyi,FAKE
142,Pakistan mai urdavan ko mubarakbaad deny waly sabiq Pakistani wazir e azam khan ki tasweer ko galat tareeqy sy paish kia gya hai,FAKE
143,Pakistan mai barfani toofaan ky baad azan ki purani video gumrah kun hai,FAKE
144,Pakistan mai giraftaar burqa posh shakhs ki tasweer Afghanistan ky ehtajaj ky bary mai posts mai gumrah krti hai,FAKE
145,Pakistani wazir e azam ki mubayina corruption pr dastawezi film net flix ny nhi balky azadana tor par tayar ki hai,FAKE
146,Puarani tasweer Pakistan ky wazeer e azam ky adam etamaad ky vote sy gumrah kun tor pr munsalik hai,FAKE
147,Purani tasweer kabul ky hospital pr hamly ki reporton mai gumrah krti hai,FAKE
148,Posts amriki himayat par zilanski ky tabsaron ko galat andaaz mai paish krti hain,FAKE
149,Posts olympics mai hissa leny waly africi mumalik ka gumrah kun mawazna krti hain,FAKE
150,Posts facebook pr Australiai khabroon ky mawad pr pabandi ko gumrah krti hain,FAKE
151,posts ny G20 ki mojudgi ky bary mai gumrah kun dawe k sath South Korea k sabiq rehnuma ko nishana bnaya,FAKE
152,posts ny azmeen e hajj k qayam ki purani video share ki hai jesa keh hukumat e pakistan ny 2022 mai faraham kia tha,FAKE
153,turkey ky muhlak zalzaly ky baad gumrahkun posts purani tasweer ko dobara share krti hain,FAKE
154,tarmeem shudah video clip mai israeli wazeer e azam sy mulaqat k doran amreeki sadar k rad e amal ko kharij kr dia gya hai,FAKE
155,tasaweer qatar ki nhi hain balky 2018 k Russia worldcup mai ak shakhs ko ak aurat ko galy lgaty huwe dikhaya gya hai,FAKE
156,"tasweer mai 2017 mai Myanmar sy farar hony waly bachy ko dikhaya gya hai, 2022 mai Pakistan selab ka shikar nhi",FAKE
157,tasweer mai asal mai Moscow mai muzahireen ko dikhaya gya hai jo Krimlin ky naqad ki rehai ka mutalba kr rahy hain,FAKE
158,tamam tasaweer ka taluq aik sadi qabal aalmi influenza k phelny sy nhi hai,FAKE
159,"timelaps video january 2016 mai amreki barfani tufan ko dikhati hai, december 2022 mai mosam e sarma ka tofan nhi",FAKE
160,tank ki iss tasweer ko ukraine ka jhanda lgany ky liye tayar kia gya hai,FAKE
161,"South Africa ko US SEC ny ghair mulki hukumat ky tor par register kia hai, company ky tor par nhi",FAKE
162,"South Korea ny haspanwi wazeer e azam ky liye sadarti daftar mai istaqbalia dia, tamirati jagha nhi",FAKE
163,jhuti posts UK PM aur sabiq hindustani wazeer e azam ky bary mai digital tor par tabdeel shuda media graphic share krti hain,FAKE
164,china CDC ky sabiq director ki 2010 mai china ki bni vaccine par tanqeed krny wali video social media ki gumrahkun poston mai dobara gardish kr rahi hai,FAKE
165,haqaiq ki janch partal: pakistan mai nabalig k gang rape k purany case ko gumrahkun dawye k sath share kia ja raha hai,FAKE
166,"haqaiq ki janch partal: nahi, video mai nazar any wali larki russian sadar putin ki beti nhi hai, COVID-19 vaccine sy mutaliq gumrahkun post viral ho rahi hai",FAKE
167,"Denmark Covid program roka gaya, nahi roqa gaya, viral post gumrahkun hai",FAKE
168,rishi sonaq ki purani tasweer haal hi mai viral hui hai,FAKE
169,"sarak par bike phisalny ki video sanpada, navi mumbai ki nhi balky karachi ki hai",FAKE
170,"koi tibi sabut nhi hai keh earpods damagi tumor ka bais banty hain, jesa keh viral post ky dawe hain",FAKE
171,"maynmar mai barhmos missile ky tajurby k tor par share ki ja rahi video, hindustan ki hai",FAKE
172,hindustan mai nipah virus ky phely ki purani WHO ki intebah haliya tor par viral,FAKE
173,"yeh vraha mujasma hazar saal purana hai, viral dawa gumrahkun hai",FAKE
174,doctors without borders ky bill board mai 'china mai ismat dari ki saza nhi' paigham shamil krny ky liye gumrahkun tabdeeli ki gai,FAKE
175,sudan ki factory mai dhamaky ki purani video 2023 ky bohran sy gumrahkun tor par munsaliq hai,FAKE
176,social media posts amreki shehriyon ky china mai semi conductors par kam krny k haq ko gumrah krti hain,FAKE
177,selabzada runway par pakistani musafir tyary ka purana clip gumrahkun poston main dobara gardish kr raha hai,FAKE
178,imran khan ky hami accounts ny bharat ky mudi ki gumhrankin posts main pakistan par tanqeed krny ka purana clip share kia hai,FAKE
179,footage ko edit kia gaya hai aur press conference ki sahi tasweer kashi nahi ki gai jis mai imran khan ny francesi hukumat par tanqeed ki gai thi,FAKE
180,2014 ky video ko haliya ukraine russia jang sy jor kar viral kia ja raha,FAKE
181,"2016 mai ki thi tilanganah police ny masjid ki saaf safai, tasweer bangal ky hawaly sy viral",FAKE
182,"2017 mai ho chuka hai indor ki pehli khatun MBBS doctor bhakti ka inteqal, post gumrahkun hai",FAKE
183,austria mai quarantine ky khilaf kiye gaye muzahiry ka nhi hai yeh viral video ,FAKE
184,austraila ky purany video ko kia ja raha koh suleman ky janglaat mai lgi agg ka btaty huwe viral,FAKE
185,austraila ki rock art tasweer chatis garh ky chrama ghar ky naam pe viral,FAKE
186,"oscar mai huwe will smith aur chris rock mutanazia par nhi tha adakarah nicole kidman kz yeh radeamal, tasweer gumrahkun dawa ky sath viral",FAKE
187,"asman sy nigrani kr rahy helicopter ki is tasweer ka nhi hai zaman park sy koi taluq, purani photo gumrahkun dawa ky sath viral",FAKE
188,"asif zardari ka viral ho raha yeh video purana hai, sehat sy mutaliq khabar bhi farzi hai",FAKE
189,aggzani sy pareshan khaton ki yeh tasweer algeria ki nhi balky yunan ki hai,FAKE
190,ansu gas ky in videos ka nhi hai imran khan ki himayat mai ho rahy muzahiron sy koi taluq,FAKE
191,"abudabi airport par huwe drone hamlah ka nhi hai yeh video, 2015 ka market mai lgi agg ka video gumrahkun dawa ky sath viral",FAKE
192,abudabi mai bn rahy hindu mandir ko saudiarab ka btaty huwe ki ja raha gumrahkun dawa ky sath viral,FAKE
193,"azan sunty huwe bachi ka taqreeban ek dahai purana video, fifa worldcup sy jorty huwe kia ja raha share",FAKE
194,"stadium mai vandematram gati bheer ka yeh video purana hai, gaba match ka nhi",FAKE
195,stadium ky andar Palestine ki himayat mai gana gaa rahy is video ka nhi fifa worldcup 2022 sy koi taluq,FAKE
196,amerika ki masjid mai eid ki namaz k doran behas krti khatun muslim hai hindu nhi,FAKE
197,amitabh bachan ka yeh video covid 10 sy mutasir hony ki wajah sy nana wati haspatal mai dakhil hony k baad ka nhi hai,FAKE
198,"indonesia mai aye halia zalzaly ka nhi hai yeh video, gumrahkun dawa huwa viral",FAKE
199,indonesia mai zalzaly ky doran namaz parh rahy logon ka yeh video saal 2018 ka hai,FAKE
200,iran mai aye toofan aur sylab ky naam pr viral kia ja raha video purana hai ,FAKE
201,"army ky kuto ko retirement ky baad nahi marra jata,viral dawaa gumrahkun hai",FAKE
202,"balon sy bany parcham ki yeh tasweer 2014 mai aik fankar ny banai thi ,iss tasweer ka iran mai chal rahy muzahiron sy koi taluq nhi",FAKE
203,"bachy ki yeh tasweer afghanistan mai aye zalzaly ki nhi hai, yemen ki 2025 ki tasweer galt dawa ky sath viral",FAKE
204,"bachy par tashadud ky is video ka nhi hai palestine ya israel sy koi taluq, sewden ka purana video gumrahkun dawa k sath viral",FAKE
205,brazil k video ko kia ja raha hai germany mai cancer sy mubtala bachy ky liye nikhali gai bike parade btaty huwe viral,FAKE
206,britan mai sarkon par chalty ghoron ky is video ka nhi hai petrol desiel ki izafi qimaton sy koi taluq,FAKE
207,"bulldozer sy pani dalny ka yeh video purana hai, pakistan mai aye selab sy jorty huwe huwa viral",FAKE
208,"balochistan mai kisanon ky zarye tabah kiye gaye tomatoes ky video ka nhi hai koi farqa warana angle, dawah gumrahkun hai",FAKE
209,"balochistan mai mily bachy ka yeh video purana hai, nahi hai iska darya sukhny sy koi taluq",FAKE
210,bangladesh ky rohengiya bachi ki tasweer pakistan selab mutasir ka btaty huwe ki ja rahi viral,FAKE
211,"bangladeshi rikshaw waly ki purani tasweer, hindustan mai ismat dari mulzim ky naam par hui viral",FAKE
212,"bharat ya pakistan ky fojiyon ki training ki nhi hai yeh tasweer, south korea ki military mashq ki photo farzi dawa k sath viral",FAKE
213,bher ky zarye pani mai phenki gai gari sirilanka ky wazeer e azam ki nhi thi,FAKE
214,beshumar dollars ka yeh video afghanistan par huwe taleban ky qabzy sy pehly ka hai,FAKE
215,"beef flavour likha huwa maggie ka packet australia ka hai, issy hindustan mai nhi kia jata farokht",FAKE
216,"pakistan ky sabiq sadar asif zardari ki giraftari sy juri khabren farzi hain, viral video 2019 ka hai",FAKE
217,"pakistan ky koh e suleman ky janglaat mai lgi agg ki nhi hain yeh tasaweer, purani photos humrahkun hawaly k sath viral",FAKE
218,"pakistan ky wazeer e azam shehbaz sahreef ny nhi dia astefa, purana video farzi hawaly ky sath viral",FAKE
219,pakistan maqbuza kashmir aur turkiye ki tasaweer ko kiya ja raha haliya zalzala sy jorty huwe viral,FAKE
220,panipat mai saand ky hamly sy janbahaq krny waly shakhs ka video gumrahkun dawa k sath viral,FAKE
221,paton ki shaqal mai azar arahy parendy asal nhi balky digitaly edited hain,FAKE
222,pathan sy pehly bhi burj khalifa par dikhaye ja chuky hain kai filmon ky trailer,FAKE
223,purani tasweer ko kia ja raha imran khan ky hamiyon ka police ehalkaron par zulm ky dawa k sath viral,FAKE
224,"putin aur japani wafad ky sath mulaqat ka yeh video 2016 ka hai, haliya halaat sy jorty huwe huwa viral",FAKE
225,"turkey aggzani ky naam par viral ki ja rahi in tasaweer mai zyada tar hain purani, nahi hai in ka turkey mai lgi agg sy koi taluq",FAKE
226,turkey ky junglat mai lgi aggzani ki tasweer ko algeria ki bta kr kia ja raha viral,FAKE
227,"turkey mai haal mai huwe muzahirin ki nhi hai yeh tasweer, 2017 ki photo gumrahkun dawa ky sath viral",FAKE
228,turkiye mai aye zalzala ka video kia ja raha pakistan ka btaty huwe viral,FAKE
229,"tasweer mai nazar araha kachwa nhi hai dunya ka sab sy burha janwar, viral dawa gumrahkun hai",FAKE
230,tafreeh ky maqsad sy bnaye gaye video ko kia ja raha haqeeqi maan kr share,FAKE
231,joe biden aur PM Modi ki tasweer ko edit kr ky chipkai gai hai imran khan ki photo,FAKE
232,hafiz e quran hony ki taqreeb mai nikali gai rally ka nhi hai istanbol mai huwe prade march sy koi taluq,FAKE
233,haal hi mai huwe indonesian tyara hadsa ky naam par viral ki ja rahi tasweer 2013 ki ak degar hadsa ki tasweer hai,FAKE
234,"haliya peshawar hamla ki nhi hai tasweer, 2011 ki photo haliya btaty hui viral",FAKE
235,"haliya shami hamly ki nhi hain yeh tasaweer, purani photos gumrahkun hawaly ky sath viral",FAKE
236,haiderabad mai muhajir mazduron ki mukhalfat ka video gujrat ky ahmadabad ky naam sy ho raha viral,FAKE
237,"khatoon par tashadud ki yeh tasweer nhi hai zaman park ki, purani tasweer gumrahkun dawa ky sath viral",FAKE
238,den mark ky purany video ko sweden mai ho rahy fasadat sy jor kr viral,FAKE
239,zakir naik ky is video ka fifs worldcup 2022 sy koi lena dena nhi hai,FAKE
240,"roti taqseem krty huwe shaks ki afghanistan ki yeh tasweer, pakistan ki btaty huwe ki ja rahi gumrahkun hawaly sy viral",FAKE
241,russia mai bany pul ki tasveer ko kia ja raha egypt ka btaty huwe share,FAKE
242,russia nhi ukraine ky fojiyon ki game expose ki hai yeh tasweer,FAKE
243,saiberia ky 9 saal purany video ko sweden mai pathar barasny ky gumrahkun dawa ky sath kia ja raha viiral,FAKE
244,"saudia arab mai 81 afrad ko hui saza e mot ky baad ki ky janazy ka nhi hai yeh video, purana video gumrahkun dawa ky sath viral",FAKE
245,"saudia arab mai huwe hamly ka nhi hai yeh video, purana video gumrahkun dawa ky sath viral",FAKE
246,"saudi footballer yasir alshehrani ka nhi huwa fifa worldcup mai zakhmi hony k baad inteqal, post farzi hai",FAKE
247,"sawat ky selab mai nhi dikhi jal pari, digitaly tayar kia gya video ho raha farzi dawa k sath viral",FAKE
248,sudan ky purany video ko kia ja raha haliya sargarmiyon sy jorty huwe viral,FAKE
249,"sudan mai foj aur paramilitary ky darmiyan chal rahi jung sy nhi hai is video ka taluq, dawa gumrahkun hai",FAKE
250,yeh video 2020 sy romania mai giraftar football shaiqen ky bary mai reports mai gardish kr rahi hai,FAKE
251,sorat ky video ko delhi ka bta kr kia ja raha hai ab viral,FAKE
252,"selab mai behty cylinder ka yeh video utrakhand ka nhi hai, gumrahkun post h  ",FAKE
253,"selab mai beh rahy rahy in janwaron ka video iran ka nhi hai, turkey ka purana video gumrahkun dawa ky sath viral",FAKE
254,sharukh khan ki pathan ka naam baad kr jawan krny ka dawa farzi hai,FAKE
255,building par gaza hamayat ki yeh tasweer fifa worldcup ky doran ki nhi hai,FAKE
256,building ky munhadam hony ka yeh video ukraine ka nhi balky gaza strip ka hai,FAKE
257,oman mai samundar mai dubty logon ka yeh video hindustan ka bta kr kia gya viral,FAKE
258,"umrah zaireen ky bus hadsa ka nhi hai yeh video, purana video gumrahkun dawa ky sath viral",FAKE
